Nama Makanan / Minuman,Asin/Manis,Makanan/Minuman,Restoran,Harga,Lokasi (Gmaps),Alamat,Foto
Bakso Malang,Salty,Food,Pangsit Mie Bakso M Gendut - Lowokwaru,14290,https://maps.app.goo.gl/EHe1nLz1mZGdn4FJA,"Jl. Locari No.1, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",https://cdn.tasteatlas.com/images/dishrestaurants/a21232a6bbbf4c21a96c6ae009643345.jpg?w=600
Rawon Malang,Salty,Food,Rawon Pak Jenggot - Purwantoro,20000,https://maps.app.goo.gl/g37EDaUMZvaKoPdH6,"Jl. Sulfat No.5, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126",https://media.suara.com/pictures/653x366/2021/01/08/51998-ilustrasi-rawon-masakapahariinicom.jpg
Pecel Kawi,Salty,Food,Pecel Kawi Hj Musilah Asli 1975 - Klojen,17500,https://maps.app.goo.gl/PJva5axgM3KFGgQd9,"Jl. Kawi Kios No.43B, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116",https://asset.kompas.com/crops/etxkCgz_0N5ZbdP6YGJScpobPVk=/60x23:959x622/750x500/data/photo/2020/11/05/5fa3f16d9c1cf.jpg
Orem-orem,Salty,Food,Rumadang Lontong Sayur dan Orem orem - Jatimulyo,16000,https://maps.app.goo.gl/UdnP8UZQVifgJ1AWA,"Ruko Taman Niaga, Jl. Soekarno Hatta, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8XWf5Ml2j21T90Y0OvLr-sfPW8x6fZDtDiQ&s
Cwie Mie Malang,Salty,Food,Kedai Mie Sutoyo Malang - Lowokwaru,29700,https://maps.app.goo.gl/nVye4mL7PjhDNkcE9,"Jl. Letjen Sutoyo No.41A, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",https://img.kurio.network/I2NyzpMPKh_rPzrUVDfmk_DPaeA=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/11/06/abacc00c-2eaf-4ddc-a1ac-45e5df3f38f0.jpe
Bakso President,Salty,Food,Bakso President - Purwantoro,40000,https://maps.app.goo.gl/dYoDELG5fVcRwVs29,"Jl. Raya Cirendeu No.6, Ciputat, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15419",https://pinhome.id/blog/wp-content/uploads/2021/07/menu-bakso-president-malang.jpg
Bakwan Malang,Salty,Food,Sego Srimben Bu Tjipto,17000,https://maps.app.goo.gl/Ha8nj2iJ5iTZbZZH7,"Jl. Raya Langsep No.33, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65146",https://assets-pergikuliner.com/6kpqTPngOOSxW5SNt_K8DooTSqo=/fit-in/1366x768/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/bootsy/image/24777/Bakwan_Malang__pergikuliner.com_.jpg
Angsle,Sweet,Food,Angsle Ronde Akor - KSalty,13333,https://maps.app.goo.gl/6v4mXhQbWzCjgHtS8,"Jl. Sempu No.10, KSalty, Kec. Klojen, Kota Malang, Jawa Timur 65117",https://cdn0-production-images-kly.akamaized.net/Z1Eqk-9AqWgxreSE-epMYAMPICg=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/3522443/original/019526800_1627369712-1.jpg
Mendol,Salty,Food,Rawon Pak Jenggot - Purwantoro,1700,https://maps.app.goo.gl/g37EDaUMZvaKoPdH6,"Jl. Sulfat No.5, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126",https://cdn0-production-images-kly.akamaized.net/IKkSQDVj7h5glZ327BbYge5axNs=/1x87:1000x650/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/4343107/original/079660300_1677721596-shutterstock_1866484465.jpg
Nasi Bhuk,Salty,Food,Nasi Bhuk Madura Pasar Jodipan,16182,https://maps.app.goo.gl/4SvAvjrJPAEqrNVG8,"Jl. Zaenal Zakse No.27, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65136",https://images.bisnis.com//upload/img/nasi%20bug%20matirah.jpg
Nasi Goreng Mawut,Salty,Food,Nasi Goreng Rri - Karang Besuki,18000,https://maps.app.goo.gl/5gdejmjBzYrHPq9P8,"Jl. Raya Candi II No.12, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146",https://foto.kontan.co.id/M25SCS1I114CHLIAKMXrvTLAnAI=/smart/filters:format(webp)/2023/11/23/1554832381p.jpg
Ronde Malang,Sweet,Food,Tahwa Ronde sahabat - Purwantoro,11000,https://maps.app.goo.gl/KfZkg43s7XgrYtud6,"Jl. Taman Sulfat No.74, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122",https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2021/12/11/1252657206.jpg
Sego Resek,Salty,Food,Sego Resek - Sumbersari,16393,https://maps.app.goo.gl/xDjc9yV1vj4gPteN6,"Jl. Terusan Surabaya No.08, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65115",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/indizone/2023/04/11/Z8s4rm8/nikmatnya-sego-resek-nasi-sampah-legendaris-yang-jadi-favorit-di-kota-malang73.jpg
Pecel Tumpang,Salty,Food,Pecel Tumpang Pak Sun - Bunulrejo,17000,https://maps.app.goo.gl/VdKgrfJDghcqu3wL8,"Jl. Hamid Rusdi No.10D, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p2/78/2024/02/23/Desain-tanpa-judul64-917246707.png
Lontong Tahu,Salty,Food,Tahu Lontong Legendaris Bu Lis - Purwodadi,21500,https://maps.app.goo.gl/PP18KiTRhck49BBA9,"Jl. Kemirahan II C No.15, Purwodadi, Kec. Blimbing, Kota Malang, Jawa Timur 65125",https://asset-a.grid.id/crop/0x0:0x0/x/photo/2020/09/03/2597695570.jpg
Soto Daging,Salty,Food,Soto Daging Lamongan - Galunggung,20000,https://maps.app.goo.gl/GruM4xJb1MhEpkEa9,"Jl. Galunggung No.2, Gading Kasri, Kec. Klojen, Kota Malang, Jawa Timur 65146",https://asset.kompas.com/crops/2HB5yToRVrbwDTsZ6jWrRR7L4Co=/82x26:640x398/750x500/data/photo/2023/07/08/64a8d48019192.jpg
Sate Kelinci,Salty,Food,Sate Kelinci Kuda Karangploso,27000,https://maps.app.goo.gl/FH4BNNuvb87rTtHV8,"Jalan Raya Kepuharjo Pasar Wisata Kepuharjo Blok C19, Turi Rejo, Kepuharjo, Kec. Karang Ploso, Kabupaten Malang, Jawa Timur 65153",https://www.finnafood.com/blog/wp-content/uploads/2023/05/22.-Resep-Sate-Kelinci-Spesial-dengan-Sambal-Bawang.jpg
Es Pleret,Sweet,Food,Juragan bakso dan es pleret,9000,https://maps.app.goo.gl/CYSKMwN5t9Lenyhe9,"WJP4+563, Jalan Simpang, Golek, Pakisaji, Malang Regency, East Java 65162",https://www.tokomesin.com/wp-content/uploads/2015/07/es-pleret-tokomesin.jpg
