Nama Makanan / Minuman,Asin/Manis,Makanan/Minuman,Restoran,Harga,Lokasi (Gmaps),Alamat
Bakso Malang,asin ,Makanan,Pangsit Mie Bakso M Gendut - Lowokwaru,"Rp14,290",https://maps.app.goo.gl/EHe1nLz1mZGdn4FJA,"Jl. Locari No.1, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141"
Rawon Malang,asin,Makanan,Rawon Pak Jenggot - Purwantoro,"Rp20,000",https://maps.app.goo.gl/g37EDaUMZvaKoPdH6,"Jl. Sulfat No.5, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126"
Pecel Kawi,asin,Makanan,Pecel Kawi Hj Musilah Asli 1975 - Klojen,"Rp17,500",https://maps.app.goo.gl/PJva5axgM3KFGgQd9,"Jl. Kawi Kios No.43B, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116"
Orem-orem,asin,Makanan,Rumadang Lontong Sayur dan Orem orem - Jatimulyo,"Rp16,000",https://maps.app.goo.gl/UdnP8UZQVifgJ1AWA,"Ruko Taman Niaga, Jl. Soekarno Hatta, Jatimulyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141"
Cwie Mie Malang,asin,Makanan,Kedai Mie Sutoyo Malang - Lowokwaru,"Rp29,700",https://maps.app.goo.gl/nVye4mL7PjhDNkcE9,"Jl. Letjen Sutoyo No.41A, Lowokwaru, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141"
Bakso President,asin,Makanan,Bakso President - Purwantoro,"Rp40,000",https://maps.app.goo.gl/dYoDELG5fVcRwVs29,"Jl. Raya Cirendeu No.6, Ciputat, Kec. Ciputat Tim., Kota Tangerang Selatan, Banten 15419"
Bakwan Malang,asin,Makanan,Sego Srimben Bu Tjipto,"Rp17,000",https://maps.app.goo.gl/Ha8nj2iJ5iTZbZZH7,"Jl. Raya Langsep No.33, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65146"
Angsle,manis,Makanan,Angsle Ronde Akor - Kasin,"Rp13,333",https://maps.app.goo.gl/6v4mXhQbWzCjgHtS8,"Jl. Sempu No.10, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117"
Mendol,asin,Makanan,Rawon Pak Jenggot - Purwantoro,"Rp1,700",https://maps.app.goo.gl/g37EDaUMZvaKoPdH6,"Jl. Sulfat No.5, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126"
Nasi Bhuk,asin,Makanan,Nasi Bhuk Madura Pasar Jodipan,"Rp16,182",https://maps.app.goo.gl/4SvAvjrJPAEqrNVG8,"Jl. Zaenal Zakse No.27, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65136"
Nasi Goreng Mawut,asin,Makanan,Nasi Goreng Rri - Karang Besuki,"Rp18,000",https://maps.app.goo.gl/5gdejmjBzYrHPq9P8,"Jl. Raya Candi II No.12, Karangbesuki, Kec. Sukun, Kota Malang, Jawa Timur 65146"
Ronde Malang,asin dan manis,Makanan,Tahwa Ronde sahabat - Purwantoro,"Rp11,000",https://maps.app.goo.gl/KfZkg43s7XgrYtud6,"Jl. Taman Sulfat No.74, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65122"
Sego Resek,asin,Makanan,Sego Resek - Sumbersari,"Rp16,393",https://maps.app.goo.gl/xDjc9yV1vj4gPteN6,"Jl. Terusan Surabaya No.08, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65115"
